Queries,Src,Event time,Event Type,,,Subtype,Topic,,,,,,,
2006 ft. collins mini marathon -- may 7th,AOL_expl,20060507,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 golden globe awards,AOL_expl,20060116,1: Past event (before 01/03/2006),Recurrent,1-year,5: Commemorative,3: Entertainment,,,,,,,
2006 hale county alabama ballot,MSN_expl,20060427,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,4: Politics,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=37&cad=rja&ved=0CF8QFjAGOB4&url=http%3A%2F%2Fwww.justice.gov%2Fcrt%2Fabout%2Fvot%2Flitigation%2Frecent_208.php&ei=plbtUIjrKsvEsgbzuoHACA&usg=AFQjCNHyn0c4UIGBLSA0Y_eCFxzo2IXIGw&sig2=8jmqMO07AZ8zJdskQaIVaw&bvm=bv.1357316858,d.Yms",,,,,,
2006 high school baseball playoffs california,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 high school football schedules,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,6: Sports,,,,,,,
2006 hispanic heritage youth awards,AOL_expl,20060420,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 hispanic heritage youth awards announcement,AOL_expl,20060420,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 hurricane forecast,MSN_expl,20060522,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 hurricane information,AOL_expl,20060522,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 hurricane names,MSN_impl,20060522,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 hurricane predictions,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 hurricane season,AOL_expl,20060610-20061002,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 hurricane season,MSN_expl,20060610-20061002,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 hurricane season,MSN_impl,20060610-20061002,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 hurricane season predictions,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 jazz fest,AOL_expl,20060428-20060507,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
2006 junior olympics swimming champion march 10-12,AOL_expl,20060310-20060312,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
2006 kc chiefs training camp,AOL_expl,20060728-20080818,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
2006 kentucky derby,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 kentucky derby,MSN_impl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 kentucky derby contenders,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 kentucky derby field,AOL_expl,20060506,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 kentucky derby horses,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 kentucky derby results,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 kentucky derby winner,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 may ncaa tennis,MSN_expl,20060518-20060529,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 miss usa,AOL_expl,20060421,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 mock nba draft,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 mock nfl draft,AOL_expl,20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 mtv movie awards,MSN_expl,20060608,3: Future event (after 31/05/2006),lennon,1-year,3: Anticipated,3: Entertainment,,,,,,,
2006 mtv music awards,MSN_expl,20060608,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
2006 musclemania,AOL_expl,20060624,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,6: Sports,,,,,,,
2006 nabba,AOL_expl,20060609-20060611,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
2006 national archery tournament,AOL_expl,20060316,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,,2: Ongoing,6: Sports,,,,,,,
2006 nba draft,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nba draft,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nba finals,MSN_expl,20060608-20060620,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nba mock draft,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nba mock draft,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nba mock drafts,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nba playoffs,MSN_expl,20060422-20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa brackets,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa division 1 wrestling championship,AOL_expl,20060316-20060318,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa mens tournament printable brackets,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa predictions,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa tournament,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa tournament brackets,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa women's basketball tournament,AOL_expl,20060418-20060418,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ncaa wrestling,AOL_expl,20060316-20060318,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft,MSN_expl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft,MSN_impl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft analysis,AOL_expl,20060429-20060430,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft grades,MSN_expl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft order,AOL_expl,20060429-20060430,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft press conference bruce gradkowski,AOL_expl,20060429-20060430,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft report,AOL_expl,20060429-20060430,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft results,MSN_expl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft rumors,AOL_expl,20060429-20060430,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl free agents,MSN_expl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl mockdraft,AOL_expl,20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl predictions,AOL_expl,20060429-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nit basketball selections,AOL_expl,20060309-20060312,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nit tournament bracket,AOL_expl,20060314-20060330,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ohio car shows,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
2006 olympics torch,AOL_expl,20060210-20060226,1: Past event (before 01/03/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
2006 oscar odds predictions favorites,AOL_expl,20060225,1: Past event (before 01/03/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
2006 preakness,MSN_impl,20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 preakness contenders,AOL_expl,20060520,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 preakness contenders,MSN_expl,20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 preakness results,AOL_expl,20060520,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 preakness stakes,MSN_expl,20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 printable march madness brackets,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 soccer world cup,AOL_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
2006 spring pomona rv & lifestyle show 2006 spring pomona rv & lifestyle show,AOL_expl,20060420-20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
2006 street glide,AOL_expl,20060808,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,future event,,,,,,
2006 summer concert tours,AOL_expl,20060601-20060930,3: Future event (after 31/05/2006),Non-recurrent,Planned,2: Ongoing,7: Holiday,,,,,,,
2006 summer horse back riding camps in austin,MSN_expl,20060618,3: Future event (after 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,ambiguous,,,,,,
2006 tax brackets,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,2: Fact,,,,,,,
2006 tour de france,MSN_expl,20060701-20060723,3: Future event (after 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 ucla baseball,MSN_expl,20060203-20060604,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 us election,AOL_expl,20061107,3: Future event (after 31/05/2006),Recurrent,4-year,2: Ongoing,4: Politics,,,,,,,
2006 us open golf,MSN_expl,20060615-20060618,3: Future event (after 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 warped tour,AOL_expl,20060616-20060814,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,7: Holiday,20060303,,,,,,
2006 world cup,AOL_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
2006 world cup,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
2006 world cup soccer magazine,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
2006 world series of poker,MSN_expl,20060625-20060810,3: Future event (after 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
4th of july,MSN_impl,20060704,3: Future event (after 31/05/2006),Recurrent,1-year,5: Commemorative,2: Fact,,,,,,,
4th of july national pictures,AOL_expl,20060704,1: Past event (before 01/03/2006),,,5: Commemorative,2: Fact,,,,,,,
aaron carter,AOL_impl,20060321,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
aaron mcgruder,AOL_impl,20060326,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
academy,MSN_impl,20060303,3: Future event (after 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,future event,,,,,,
academy awards,AOL_impl,20060303,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
academy of country music awards,MSN_impl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
academy of country music awards 2006,MSN_expl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
acc tournament,AOL_impl,20060309-20060312,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
acm awards 2006,MSN_expl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
adam lazzara,AOL_impl,20060425,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,3: Entertainment,,,,,,,
afram fest 2006,AOL_expl,20060527,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,7: Holiday,recent event,,,,,,
alien,AOL_impl,20060810,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&cad=rja&ved=0CI0BEBYwCQ&url=http%3A%2F%2Foriginaltrilogy.com%2Fforum%2Ftopic.cfm%2FAlien-3-HD%2Ftopic%2F6186%2F&ei=ElftUMi6NMPOtAalqYHoAg&usg=AFQjCNHARe7SIC8f3Bgvn51GvGPiGKYj6A&sig2=ahXp7T6VIrshoxhj-e3QHQ&bvm=bv.1357316858,d.Yms",,,,,
alien 3,AOL_impl,20060810,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,,,,,,
aliens,AOL_impl,20060810,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,,,,,,
aliens vs predator,AOL_impl,20060810,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,,,,,,
amazing race 2006,AOL_expl,20060228-20060517,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
amazing race 2006,MSN_expl,20060228-20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,6: Sports,,,,,,,
american idle,MSN_impl,20060117-20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
american idol,AOL_impl,20060117-20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
american idol 2002,AOL_expl,20020611-20020914,1: Past event (before 01/03/2006),Recurrent,1-week,5: Commemorative,3: Entertainment,,,,,,,
american idol 2004,AOL_expl,20040119-20040526,1: Past event (before 01/03/2006),Recurrent,1-week,5: Commemorative,3: Entertainment,,,,,,,
american idol 2005,AOL_expl,20050118-20050525,1: Past event (before 01/03/2006),Recurrent,1-week,5: Commemorative,3: Entertainment,,,,,,,
american idol 2005,MSN_expl,20050118-20050525,1: Past event (before 01/05/2006),Recurrent,1-week,5: Commemorative,3: Entertainment,,,,,,,
american idol 2006,AOL_expl,20060117-20060524,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
american idol 2006,MSN_expl,20060117-20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
american idol 2006 tour,AOL_expl,20060117-20060524,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
american idol concert tickets,AOL_impl,20060117-20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
american idol results,AOL_impl,20060117-20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
american idol results 2006,AOL_expl,20060117-20060524,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
american idol tour 2006,MSN_expl,20060117-20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
american idol winner 2006,MSN_expl,20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
american idol.com,MSN_impl,20060117-20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
americas next top model,AOL_impl,20060308-20060517,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
americas next top model,MSN_impl,20060308-20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
america's next top model,AOL_impl,20060308-20060517,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
america's next top model,MSN_impl,20060308-20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
americas next top model 2006,MSN_expl,20060308-20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-month,2: Ongoing,3: Entertainment,,,,,,,
america's next top model 2006,MSN_expl,20060308-20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
americas next top model winner 2006,MSN_expl,20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
anna benson,AOL_impl,20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
anna nicole smith,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
anthony hamilton tour dates 2006,AOL_expl,20060627-20060808,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,,,,,,
apple ipod,MSN_impl,20060912,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,1: News,future event,,,,,,
april 21 2006 car accidents in fla.,AOL_expl,20060421,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,recent event,,,,,,
april fool day tricks,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fool jokes,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fools day birthday cards,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fool's day cards,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
april fools day gags,AOL_expl,20060401,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
